제대구분,발생일시,체계명,LRU명,고장유형,고장증상,수리시작시간,수리완료시간,정비조치내용,처리상태,등록일시
정비부대,2025-06-22 04:49:00,체계-A,LRU-005,기계적,기어 치면 마모로 백래시 증가,2025-06-22 05:19:00,2025-06-22 22:51:20,씰 키트 교체 및 누설 시험,수리완료,2025-06-22 05:11:00
정비부대,2025-06-22 18:44:31,체계-C,LRU-002,전기적,배선 단락으로 인한 퓨즈 소손,2025-06-22 23:06:23,2025-06-23 04:52:46,단락 부위 배선 재작업 및 절연 처리,수리완료,2025-06-22 18:53:31
운용부대,2025-06-24 15:34:36,체계-B,LRU-002,기계적,씰(seal) 파손으로 윤활유 누설,2025-06-24 17:00:42,2025-06-24 22:18:36,씰 키트 교체 및 누설 시험,수리완료,2025-06-24 15:49:36
정비부대,2025-06-27 06:19:51,체계-C,LRU-008,전기적,PCB 납땜 크랙으로 간헐적 오작동,2025-06-27 06:49:51,2025-06-28 01:59:33,파손된 PCB 교체 후 기능 확인,수리완료,2025-06-27 06:59:51
정비부대,2025-06-27 15:33:23,체계-C,LRU-010,소프트웨어,메모리 누수로 인한 주기적 성능 저하,2025-06-27 17:42:00,2025-06-28 00:29:39,메모리 모듈 교체 후 소프트웨어 재설치,수리완료,2025-06-27 16:06:23
정비부대,2025-06-29 21:30:53,체계-C,LRU-008,전기적,전압 강하로 인한 시스템 재시작 반복,2025-06-29 23:30:33,2025-06-30 10:04:18,커넥터 핀 교체 및 접촉 저항 측정,수리완료,2025-06-29 22:30:53
운용부대,2025-07-01 01:38:18,체계-B,LRU-002,소프트웨어,BIT(Built-In Test) 자가진단 루틴 오류,2025-07-01 02:08:18,2025-07-01 06:49:04,통신 드라이버 재설치 및 프로토콜 재설정,수리완료,2025-07-01 01:48:18
운용부대,2025-07-05 02:05:52,체계-A,LRU-003,전기적,PCB 납땜 크랙으로 간헐적 오작동,,,,미해결,2025-07-05 03:04:52
운용부대,2025-07-06 00:50:50,체계-A,LRU-001,소프트웨어,BIT(Built-In Test) 자가진단 루틴 오류,2025-07-06 01:20:50,2025-07-06 07:05:39,운영 소프트웨어 재설치 및 설정 복구,수리완료,2025-07-06 01:04:50
정비부대,2025-07-14 21:21:01,체계-C,LRU-009,환경적,모래 먼지 유입으로 기계부 마모 가속,2025-07-15 00:44:57,2025-07-15 20:55:57,단자 교체 및 방수 코팅 적용,수리완료,2025-07-14 21:55:01
정비부대,2025-07-17 16:43:44,체계-B,LRU-004,소프트웨어,메모리 누수로 인한 주기적 성능 저하,2025-07-17 17:16:35,2025-07-18 03:43:20,BIT 루틴 패치 적용,수리완료,2025-07-17 17:28:44
창정비,2025-07-19 10:09:31,체계-C,LRU-009,전기적,주 전원 공급 장치 과열 경보 발생,2025-07-19 11:31:12,2025-07-22 23:41:41,커넥터 핀 교체 및 접촉 저항 측정,수리완료,2025-07-19 10:57:31
창정비,2025-07-25 05:31:02,체계-C,LRU-008,전기적,PCB 납땜 크랙으로 간헐적 오작동,2025-07-25 08:28:03,2025-07-28 01:00:34,파손된 PCB 교체 후 기능 확인,수리완료,2025-07-25 06:23:02
창정비,2025-08-15 14:37:46,체계-C,LRU-007,기계적,기어 치면 마모로 백래시 증가,2025-08-15 17:14:05,2025-08-19 21:04:04,기어 어셈블리 교환 후 백래시 조정,수리완료,2025-08-15 15:16:46
운용부대,2025-08-19 03:39:19,체계-A,LRU-004,전기적,전압 강하로 인한 시스템 재시작 반복,2025-08-19 06:00:35,2025-08-19 07:34:34,파손된 PCB 교체 후 기능 확인,수리완료,2025-08-19 04:18:19
운용부대,2025-08-19 10:40:57,체계-B,LRU-010,소프트웨어,운영 소프트웨어 부팅 중 커널 패닉,2025-08-19 11:10:57,2025-08-19 14:07:55,운영 소프트웨어 재설치 및 설정 복구,수리완료,2025-08-19 11:27:57
운용부대,2025-08-19 15:50:13,체계-B,LRU-008,전기적,전압 강하로 인한 시스템 재시작 반복,2025-08-19 17:59:40,2025-08-19 23:06:24,전원 공급 장치(PSU) LRU 교환,수리완료,2025-08-19 16:04:13
운용부대,2025-08-24 18:06:51,체계-B,LRU-010,소프트웨어,운영 소프트웨어 부팅 중 커널 패닉,2025-08-24 20:27:45,2025-08-25 01:42:13,펌웨어 이전 버전으로 롤백,수리완료,2025-08-24 18:48:51
운용부대,2025-08-26 04:26:10,체계-B,LRU-010,기계적,씰(seal) 파손으로 윤활유 누설,2025-08-26 04:56:10,2025-08-26 06:03:21,기어 어셈블리 교환 후 백래시 조정,수리완료,2025-08-26 04:42:10
정비부대,2025-08-26 05:53:24,체계-A,LRU-007,소프트웨어,BIT(Built-In Test) 자가진단 루틴 오류,2025-08-26 06:23:32,2025-08-26 20:27:55,펌웨어 이전 버전으로 롤백,수리완료,2025-08-26 06:34:24
운용부대,2025-08-26 08:46:51,체계-C,LRU-004,전기적,주 전원 공급 장치 과열 경보 발생,2025-08-26 10:40:24,2025-08-26 13:49:02,퓨즈 및 보호 회로 교체,수리완료,2025-08-26 09:34:51
운용부대,2025-08-28 10:17:28,체계-C,LRU-007,기계적,하우징 균열로 방진 성능 저하,2025-08-28 10:47:28,2025-08-28 13:45:36,기어 어셈블리 교환 후 백래시 조정,수리완료,2025-08-28 10:38:28
정비부대,2025-09-02 22:52:39,체계-C,LRU-004,소프트웨어,설정 파일 손상으로 초기화 반복,,,,미해결,2025-09-02 23:20:39
운용부대,2025-09-03 14:51:50,체계-B,LRU-002,소프트웨어,설정 파일 손상으로 초기화 반복,2025-09-03 15:39:04,2025-09-03 21:11:28,BIT 루틴 패치 적용,수리완료,2025-09-03 15:39:50
운용부대,2025-09-05 20:11:04,체계-A,LRU-002,전기적,전압 강하로 인한 시스템 재시작 반복,2025-09-05 22:46:24,2025-09-06 04:00:31,단락 부위 배선 재작업 및 절연 처리,수리완료,2025-09-05 20:46:04
정비부대,2025-09-11 04:01:17,체계-B,LRU-001,전기적,전압 강하로 인한 시스템 재시작 반복,2025-09-11 06:15:06,2025-09-11 13:35:58,퓨즈 및 보호 회로 교체,수리완료,2025-09-11 04:07:17
창정비,2025-09-16 18:25:40,체계-B,LRU-001,전기적,커넥터 접촉 불량으로 신호 단절,2025-09-16 22:57:22,2025-09-20 05:16:34,커넥터 핀 교체 및 접촉 저항 측정,수리완료,2025-09-16 19:08:40
정비부대,2025-09-30 07:05:47,체계-A,LRU-001,기계적,구동축 마모로 인한 위치 오차 발생,2025-09-30 07:38:16,2025-09-30 13:54:39,씰 키트 교체 및 누설 시험,수리완료,2025-09-30 07:13:47
정비부대,2025-09-30 15:34:38,체계-B,LRU-005,소프트웨어,운영 소프트웨어 부팅 중 커널 패닉,2025-09-30 16:04:38,2025-10-01 14:19:00,BIT 루틴 패치 적용,수리완료,2025-09-30 16:01:38
운용부대,2025-10-06 12:23:27,체계-C,LRU-004,전기적,전압 강하로 인한 시스템 재시작 반복,2025-10-06 17:29:22,2025-10-06 23:15:11,단락 부위 배선 재작업 및 절연 처리,수리완료,2025-10-06 13:04:27
창정비,2025-10-06 14:30:12,체계-A,LRU-004,전기적,전원 인가 후 부팅 불가,2025-10-06 15:00:12,2025-10-10 11:57:35,전원 공급 장치(PSU) LRU 교환,수리완료,2025-10-06 14:45:12
운용부대,2025-10-06 17:45:33,체계-C,LRU-002,전기적,주 전원 공급 장치 과열 경보 발생,2025-10-06 18:15:33,2025-10-06 21:48:00,퓨즈 및 보호 회로 교체,수리완료,2025-10-06 17:58:33
정비부대,2025-10-07 14:37:42,체계-C,LRU-010,소프트웨어,메모리 누수로 인한 주기적 성능 저하,2025-10-07 15:32:43,2025-10-08 11:58:35,메모리 모듈 교체 후 소프트웨어 재설치,수리완료,2025-10-07 14:43:42
운용부대,2025-10-07 18:08:07,체계-C,LRU-001,기계적,씰(seal) 파손으로 윤활유 누설,2025-10-07 19:30:08,2025-10-07 23:10:43,씰 키트 교체 및 누설 시험,수리완료,2025-10-07 18:28:07
창정비,2025-10-11 21:10:21,체계-C,LRU-006,전기적,주 전원 공급 장치 과열 경보 발생,2025-10-11 22:23:25,2025-10-13 23:43:45,전원 공급 장치(PSU) LRU 교환,수리완료,2025-10-11 21:31:21
정비부대,2025-10-14 06:15:09,체계-A,LRU-002,전기적,주 전원 공급 장치 과열 경보 발생,2025-10-14 06:45:09,2025-10-14 20:39:57,퓨즈 및 보호 회로 교체,수리완료,2025-10-14 07:05:09
운용부대,2025-10-15 03:45:39,체계-A,LRU-005,소프트웨어,펌웨어 업데이트 후 인터페이스 불일치,2025-10-15 06:03:58,2025-10-15 08:01:23,펌웨어 이전 버전으로 롤백,수리완료,2025-10-15 04:38:39
운용부대,2025-10-16 12:29:13,체계-B,LRU-008,소프트웨어,설정 파일 손상으로 초기화 반복,2025-10-16 13:16:03,2025-10-16 16:56:08,펌웨어 이전 버전으로 롤백,수리완료,2025-10-16 12:39:13
운용부대,2025-10-24 04:33:03,체계-C,LRU-006,기계적,씰(seal) 파손으로 윤활유 누설,2025-10-24 05:03:03,2025-10-24 09:30:12,균열 부위 용접 보강 및 도장,수리완료,2025-10-24 05:00:03
창정비,2025-10-26 06:32:43,체계-A,LRU-004,전기적,주 전원 공급 장치 과열 경보 발생,2025-10-26 10:04:27,2025-10-27 09:35:38,전원 공급 장치(PSU) LRU 교환,수리완료,2025-10-26 06:54:43
창정비,2025-10-26 12:55:34,체계-A,LRU-002,소프트웨어,운영 소프트웨어 부팅 중 커널 패닉,2025-10-26 13:25:34,2025-10-28 15:49:01,통신 드라이버 재설치 및 프로토콜 재설정,수리완료,2025-10-26 13:18:34
정비부대,2025-10-30 18:32:12,체계-C,LRU-007,소프트웨어,설정 파일 손상으로 초기화 반복,2025-10-30 19:02:12,2025-10-31 09:54:11,펌웨어 이전 버전으로 롤백,수리완료,2025-10-30 19:32:12
정비부대,2025-11-03 11:23:54,체계-A,LRU-009,기계적,기어 치면 마모로 백래시 증가,2025-11-03 12:04:07,2025-11-04 00:40:58,베어링 교체 및 윤활 실시,수리완료,2025-11-03 11:36:54
운용부대,2025-11-04 10:29:33,체계-A,LRU-002,기계적,기어 치면 마모로 백래시 증가,2025-11-04 15:15:18,,수리 진행 중,수리중,2025-11-04 11:13:33
정비부대,2025-11-10 13:38:30,체계-B,LRU-007,소프트웨어,메모리 누수로 인한 주기적 성능 저하,2025-11-10 20:12:20,2025-11-11 08:05:39,메모리 모듈 교체 후 소프트웨어 재설치,수리완료,2025-11-10 14:08:30
정비부대,2025-11-13 20:55:47,체계-C,LRU-006,전기적,주 전원 공급 장치 과열 경보 발생,2025-11-13 21:25:47,2025-11-14 05:41:19,퓨즈 및 보호 회로 교체,수리완료,2025-11-13 21:03:47
정비부대,2025-11-15 20:21:15,체계-C,LRU-007,전기적,주 전원 공급 장치 과열 경보 발생,2025-11-15 20:51:15,2025-11-16 10:31:42,파손된 PCB 교체 후 기능 확인,수리완료,2025-11-15 21:10:15
창정비,2025-11-18 06:01:04,체계-C,LRU-009,환경적,염분 환경으로 인한 외부 단자 부식,2025-11-18 07:24:53,2025-11-20 15:50:27,에어 필터 교체 및 내부 청소,수리완료,2025-11-18 06:58:04
운용부대,2025-11-28 04:23:39,체계-C,LRU-007,전기적,주 전원 공급 장치 과열 경보 발생,2025-11-28 05:18:39,2025-11-28 09:36:09,파손된 PCB 교체 후 기능 확인,수리완료,2025-11-28 05:08:39
운용부대,2025-12-02 02:18:21,체계-A,LRU-001,전기적,전원 인가 후 부팅 불가,2025-12-02 09:17:29,2025-12-02 13:43:43,파손된 PCB 교체 후 기능 확인,수리완료,2025-12-02 03:18:21
정비부대,2025-12-07 22:49:54,체계-C,LRU-001,소프트웨어,설정 파일 손상으로 초기화 반복,2025-12-07 23:27:53,2025-12-08 01:57:54,메모리 모듈 교체 후 소프트웨어 재설치,수리완료,2025-12-07 23:15:54
창정비,2025-12-13 21:49:32,체계-A,LRU-006,기계적,체결 볼트 풀림으로 구조물 유격 발생,2025-12-13 22:39:35,2025-12-16 09:49:01,균열 부위 용접 보강 및 도장,수리완료,2025-12-13 22:15:32
정비부대,2025-12-14 15:13:51,체계-A,LRU-009,전기적,배선 단락으로 인한 퓨즈 소손,2025-12-14 18:05:29,2025-12-15 15:03:51,단락 부위 배선 재작업 및 절연 처리,수리완료,2025-12-14 15:25:51
운용부대,2025-12-15 23:53:32,체계-A,LRU-005,기계적,체결 볼트 풀림으로 구조물 유격 발생,2025-12-16 03:17:59,2025-12-16 03:47:59,기어 어셈블리 교환 후 백래시 조정,수리완료,2025-12-16 00:16:32
창정비,2025-12-17 06:29:07,체계-A,LRU-006,기계적,하우징 균열로 방진 성능 저하,2025-12-17 07:10:25,2025-12-21 17:23:13,베어링 교체 및 윤활 실시,수리완료,2025-12-17 07:14:07
운용부대,2025-12-27 20:24:04,체계-A,LRU-001,기계적,체결 볼트 풀림으로 구조물 유격 발생,2025-12-27 22:30:43,,수리 진행 중,수리중,2025-12-27 21:24:04
운용부대,2025-12-31 08:18:13,체계-A,LRU-007,소프트웨어,메모리 누수로 인한 주기적 성능 저하,2025-12-31 08:51:28,2025-12-31 12:50:35,메모리 모듈 교체 후 소프트웨어 재설치,수리완료,2025-12-31 08:44:13
정비부대,2026-01-04 03:23:29,체계-B,LRU-005,전기적,커넥터 접촉 불량으로 신호 단절,2026-01-04 04:08:10,2026-01-04 23:12:52,커넥터 핀 교체 및 접촉 저항 측정,수리완료,2026-01-04 03:36:29
정비부대,2026-01-12 20:17:39,체계-C,LRU-003,전기적,PCB 납땜 크랙으로 간헐적 오작동,2026-01-12 20:47:39,2026-01-13 09:50:35,퓨즈 및 보호 회로 교체,수리완료,2026-01-12 21:00:39
운용부대,2026-01-16 02:40:24,체계-C,LRU-009,기계적,기어 치면 마모로 백래시 증가,2026-01-16 04:07:02,2026-01-16 09:18:46,균열 부위 용접 보강 및 도장,수리완료,2026-01-16 03:08:24
정비부대,2026-01-17 23:53:05,체계-B,LRU-008,전기적,전원 인가 후 부팅 불가,2026-01-18 01:54:52,,수리 진행 중,수리중,2026-01-18 00:27:05
운용부대,2026-01-19 12:24:01,체계-A,LRU-009,기계적,구동축 마모로 인한 위치 오차 발생,2026-01-19 14:11:43,2026-01-19 18:26:23,베어링 교체 및 윤활 실시,수리완료,2026-01-19 13:09:01
정비부대,2026-01-22 12:16:51,체계-B,LRU-003,전기적,커넥터 접촉 불량으로 신호 단절,2026-01-22 14:44:36,2026-01-23 08:48:23,파손된 PCB 교체 후 기능 확인,수리완료,2026-01-22 12:27:51
정비부대,2026-01-25 11:21:07,체계-B,LRU-001,전기적,주 전원 공급 장치 과열 경보 발생,2026-01-25 11:51:07,2026-01-25 23:29:12,커넥터 핀 교체 및 접촉 저항 측정,수리완료,2026-01-25 12:13:07
정비부대,2026-01-26 00:02:37,체계-C,LRU-004,전기적,전원 인가 후 부팅 불가,2026-01-26 00:32:37,2026-01-26 11:34:40,퓨즈 및 보호 회로 교체,수리완료,2026-01-26 00:57:37
운용부대,2026-01-30 21:56:09,체계-B,LRU-005,환경적,저온 시동 불량 (동절기 작전 환경),2026-01-31 00:32:49,2026-01-31 06:19:21,에어 필터 교체 및 내부 청소,수리완료,2026-01-30 22:47:09
창정비,2026-02-03 21:09:26,체계-B,LRU-006,전기적,주 전원 공급 장치 과열 경보 발생,2026-02-04 02:28:01,,수리 진행 중,수리중,2026-02-03 21:15:26
운용부대,2026-02-07 15:34:14,체계-A,LRU-004,소프트웨어,운영 소프트웨어 부팅 중 커널 패닉,2026-02-07 16:28:59,2026-02-07 18:59:53,통신 드라이버 재설치 및 프로토콜 재설정,수리완료,2026-02-07 15:52:14
정비부대,2026-02-09 20:56:24,체계-A,LRU-003,환경적,고온 환경 노출로 열 변형 발생,2026-02-09 23:45:26,2026-02-10 02:47:13,에어 필터 교체 및 내부 청소,수리완료,2026-02-09 21:12:24
운용부대,2026-02-12 20:15:34,체계-C,LRU-010,전기적,주 전원 공급 장치 과열 경보 발생,,,,미해결,2026-02-12 21:03:34
창정비,2026-02-18 19:03:58,체계-B,LRU-005,전기적,PCB 납땜 크랙으로 간헐적 오작동,2026-02-18 21:33:51,2026-02-21 18:50:07,커넥터 핀 교체 및 접촉 저항 측정,수리완료,2026-02-18 19:59:58
운용부대,2026-02-21 10:04:50,체계-C,LRU-007,소프트웨어,BIT(Built-In Test) 자가진단 루틴 오류,2026-02-21 11:36:55,2026-02-21 18:23:59,펌웨어 이전 버전으로 롤백,수리완료,2026-02-21 10:43:50
정비부대,2026-02-25 18:32:31,체계-C,LRU-010,전기적,배선 단락으로 인한 퓨즈 소손,2026-02-25 19:05:44,2026-02-26 22:19:50,파손된 PCB 교체 후 기능 확인,수리완료,2026-02-25 19:05:31
정비부대,2026-02-27 10:11:22,체계-A,LRU-008,소프트웨어,설정 파일 손상으로 초기화 반복,2026-02-27 11:45:15,2026-02-27 18:28:14,운영 소프트웨어 재설치 및 설정 복구,수리완료,2026-02-27 10:50:22
운용부대,2026-03-01 03:53:14,체계-C,LRU-001,소프트웨어,운영 소프트웨어 부팅 중 커널 패닉,2026-03-01 04:36:11,,수리 진행 중,수리중,2026-03-01 04:47:14
정비부대,2026-03-02 13:39:37,체계-B,LRU-007,소프트웨어,데이터 버스 통신 프로토콜 오류,2026-03-02 14:10:47,,수리 진행 중,수리중,2026-03-02 14:01:37
운용부대,2026-03-03 12:12:47,체계-B,LRU-002,소프트웨어,메모리 누수로 인한 주기적 성능 저하,2026-03-03 12:56:18,2026-03-03 13:26:18,통신 드라이버 재설치 및 프로토콜 재설정,수리완료,2026-03-03 12:57:47
정비부대,2026-03-05 19:39:55,체계-C,LRU-003,전기적,주 전원 공급 장치 과열 경보 발생,2026-03-05 21:50:16,,수리 진행 중,수리중,2026-03-05 20:18:55
정비부대,2026-03-07 03:32:27,체계-B,LRU-001,환경적,염분 환경으로 인한 외부 단자 부식,2026-03-07 04:02:27,,수리 진행 중,수리중,2026-03-07 04:25:27
정비부대,2026-03-08 21:10:36,체계-B,LRU-005,전기적,배선 단락으로 인한 퓨즈 소손,2026-03-08 22:02:08,,수리 진행 중,수리중,2026-03-08 21:50:36
정비부대,2026-03-18 14:20:51,체계-B,LRU-009,기계적,냉각팬 베어링 소음 및 진동 과다,,,,미해결,2026-03-18 14:30:51
